,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,4.31,1.32,24610.0,12240.0,33720.0,175600.0,477.0,55.4,925.0,35.3,1195.0,690.0,0.0,24.08,58700.0,8.19,117.2,1.97,184.5,23.32,0.06,124.9,0.24,0.16,0.0,0.03,0.0,0.41,0.0,1.05,0.1,0.2,0.03,0.16,0.06,0.05,0.06,0.01,0.06,0.01,0.03,0.01,0.06,0.02,0.01,0.01,0.01,0.14,0.02,0.0
1,5.07,1.49,24970.0,13190.0,33720.0,170600.0,464.0,69.0,864.0,33.2,1139.0,689.0,0.0,33.3,59800.0,8.5,115.5,3.16,194.7,22.87,0.07,116.7,0.26,0.18,0.01,0.03,0.0,0.29,0.0,1.27,0.1,0.31,0.04,0.21,0.06,0.06,0.09,0.01,0.05,0.01,0.02,0.01,0.06,0.01,0.01,0.01,0.01,0.18,0.03,0.0
2,4.0,1.77,24120.0,11920.0,32520.0,178000.0,571.0,45.7,924.0,54.1,1659.0,891.0,0.87,19.19,57060.0,8.37,142.4,2.72,182.0,23.04,0.04,119.0,0.32,0.07,0.0,0.01,0.0,0.21,0.0,0.86,0.11,0.26,0.04,0.27,0.09,0.1,0.08,0.01,0.07,0.01,0.04,0.01,0.06,0.02,0.01,0.0,0.0,0.13,0.02,0.0
3,5.22,1.63,24900.0,12340.0,32700.0,166600.0,446.0,206.0,824.0,49.3,1673.0,919.0,1.22,22.1,60500.0,9.18,148.6,4.02,204.3,24.22,0.59,103.7,0.33,0.08,0.0,0.0,0.0,0.22,0.02,2.05,0.1,0.28,0.04,0.26,0.1,0.08,0.1,0.01,0.06,0.01,0.04,0.0,0.06,0.01,0.01,0.0,0.0,0.17,0.02,0.0
4,4.49,1.29,25370.0,15220.0,34040.0,183100.0,485.0,770.0,1029.0,28.8,1528.0,815.0,1.16,23.2,57900.0,8.76,148.0,4.36,154.3,28.5,2.29,139.0,0.29,0.1,0.0,0.06,0.0,0.26,0.05,5.1,0.09,0.23,0.04,0.21,0.07,0.08,0.09,0.01,0.07,0.01,0.04,0.01,0.06,0.01,0.01,0.0,0.01,0.15,0.02,0.0
5,4.06,1.03,21870.0,13470.0,29800.0,155900.0,321.0,273.0,847.0,19.76,1128.0,654.0,1.07,22.0,50200.0,7.88,114.5,5.7,121.7,25.0,0.79,117.0,0.31,0.1,0.0,0.07,0.0,0.25,0.01,1.95,0.08,0.19,0.03,0.17,0.06,0.06,0.05,0.01,0.05,0.01,0.03,0.0,0.04,0.01,0.01,0.0,0.01,0.42,0.02,0.0
6,4.03,1.85,25020.0,12150.0,32450.0,176700.0,500.0,156.0,919.0,75.9,1588.0,964.0,1.03,20.81,60300.0,9.49,153.0,2.78,201.0,24.91,0.4,110.5,0.22,0.09,0.01,0.03,0.0,0.23,0.0,1.64,0.08,0.26,0.03,0.2,0.05,0.1,0.07,0.01,0.07,0.01,0.02,0.0,0.04,0.02,0.01,0.0,0.0,0.17,0.03,0.0
7,4.28,1.45,24650.0,13450.0,31400.0,172200.0,388.0,85.0,951.0,63.9,1470.0,920.0,1.29,20.7,56500.0,8.41,143.3,3.06,188.0,27.28,0.06,116.3,0.26,0.07,0.0,0.01,0.0,0.26,0.0,0.79,0.08,0.24,0.04,0.17,0.06,0.08,0.08,0.01,0.05,0.01,0.03,0.01,0.05,0.02,0.01,0.01,0.01,0.18,0.02,0.0
8,4.01,1.26,24930.0,13360.0,31150.0,166400.0,356.0,79.5,899.0,55.1,1539.0,944.0,0.81,19.72,56900.0,8.4,149.1,2.52,204.4,26.3,0.11,113.0,0.19,0.09,0.0,0.01,0.0,0.21,0.0,0.81,0.08,0.19,0.02,0.14,0.05,0.08,0.07,0.01,0.04,0.01,0.02,0.0,0.04,0.01,0.0,0.0,0.0,0.18,0.01,0.0
9,3.02,1.25,23560.0,12940.0,32000.0,173500.0,496.0,770.0,898.0,26.0,1140.0,691.0,0.0,20.24,53290.0,7.56,119.7,2.34,165.6,24.89,2.15,133.7,0.14,0.04,0.0,0.01,0.0,0.29,0.06,6.0,0.05,0.13,0.02,0.11,0.04,0.05,0.04,0.01,0.03,0.01,0.02,0.0,0.04,0.01,0.0,0.01,0.01,0.1,0.01,0.0
10,2.74,0.89,23960.0,12780.0,31460.0,168000.0,479.0,89.0,838.0,25.6,915.0,611.0,0.0,20.61,52700.0,8.02,117.2,1.98,165.3,24.16,0.21,121.8,0.15,0.08,0.01,0.11,0.0,0.24,0.0,0.82,0.05,0.17,0.02,0.15,0.05,0.05,0.03,0.01,0.02,0.01,0.01,0.0,0.03,0.01,0.0,0.01,0.01,0.25,0.01,0.0
11,4.14,1.88,24060.0,12320.0,33470.0,179100.0,588.0,38.8,1029.0,46.8,1425.0,765.0,0.36,22.36,60020.0,8.14,137.3,3.01,179.6,23.47,0.03,132.2,0.49,0.08,0.01,0.01,0.0,0.24,0.0,1.25,0.15,0.43,0.07,0.41,0.13,0.1,0.13,0.02,0.13,0.02,0.05,0.01,0.09,0.02,0.01,0.01,0.0,0.13,0.03,0.0
12,4.34,1.53,24490.0,13080.0,33290.0,171100.0,494.0,130.0,978.0,28.84,1581.0,774.0,0.0,21.96,58000.0,8.67,135.9,3.6,183.8,23.21,0.32,129.5,0.31,0.07,0.01,0.02,0.0,0.24,0.0,1.62,0.12,0.31,0.05,0.24,0.09,0.08,0.11,0.01,0.07,0.01,0.03,0.01,0.05,0.01,0.01,0.01,0.0,0.1,0.02,0.0
13,3.29,1.36,22880.0,12530.0,32880.0,172400.0,471.0,770.0,896.0,29.6,1175.0,672.0,0.0,20.72,55800.0,9.67,117.4,4.45,157.1,23.16,2.23,129.8,0.28,0.08,0.0,0.01,0.0,0.27,0.07,6.8,0.09,0.23,0.04,0.17,0.09,0.07,0.08,0.01,0.05,0.01,0.03,0.0,0.05,0.01,0.01,0.0,0.0,0.12,0.02,0.0
14,4.36,2.03,24190.0,13050.0,32400.0,168000.0,440.0,134.0,951.0,31.3,1635.0,809.0,0.0,20.96,58500.0,8.7,145.8,5.44,184.0,22.1,0.28,122.3,0.47,0.1,0.01,0.01,0.0,0.2,0.0,1.85,0.14,0.41,0.07,0.36,0.16,0.08,0.13,0.02,0.1,0.02,0.05,0.01,0.06,0.01,0.01,0.0,0.0,0.1,0.03,0.0
15,3.88,1.69,23590.0,12470.0,33480.0,179300.0,587.0,44.6,1029.0,32.44,1509.0,733.0,0.0,21.71,58900.0,8.54,141.5,3.65,178.4,22.64,0.05,133.7,0.32,0.1,0.0,0.0,0.0,0.2,0.0,0.9,0.11,0.31,0.05,0.28,0.08,0.08,0.09,0.01,0.08,0.01,0.03,0.01,0.05,0.01,0.01,0.01,0.0,0.13,0.02,0.0
